UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear
Physical,Horizon,BOOK,2016,6,5,Little elephants / Graeme Base.,,"Base, Graeme","Magic Fiction, Elephants Juvenile fiction, Farm life Juvenile fiction","Abrams Books for Young Readers,",2012.
Physical,Horizon,SOUNDDISC,2016,6,3,Believing the lie [sound recording] / Elizabeth George.,,"George, Elizabeth, 1949-","Lynley Thomas Fiction, Women detectives England Fiction, Havers Barbara Fictitious character Fiction, Police England Derbyshire Fiction, Mystery fiction","Penguin Audio,",p2012.
Digital,OverDrive,EBOOK,2016,6,1,Smash Cut: A Memoir of Howard & Art & the '70s & the '80s,,Brad Gooch,"Biography & Autobiography, Nonfiction",HarperCollins Publishers Inc.,2015
Digital,Freegal,SONG,2016,6,1,Good to Go,,Fly Moon Royalty,,,
Physical,Horizon,BOOK,2016,6,1,Tajikistan / Rafis Abazov.,,"Abazov, Rafis",Tajikistan Juvenile literature,"Marshall Cavendish Benchmark,",2006.
Physical,Horizon,BOOK,2016,6,1,"You'll never know. Book 1, A good and decent man / by C. Tyler.",,"Tyler, Carol","World War 1939 1945 Veterans Comic books strips etc, World War 1939 1945 Veterans Family relationships Comic books strips etc, Fathers and daughters Comic books strips etc, Nonfiction comics","Fantagraphics : Distributed in the U.S. by W.W. Norton And Company,",2009.
Digital,OverDrive,EBOOK,2016,6,2,"Hometown Girl: The Chesapeake Diaries Series, Book 4",,Mariah Stewart,"Fiction, Romance","Random House, Inc.",2011
Digital,Freegal,SONG,2016,6,1,Feels Good Don't Stop,,Kick Axe,,,
Physical,Horizon,BOOK,2016,6,4,Mossflower / Brian Jacques ; illustrated by Gary Chalk.,,"Jacques, Brian","Animals Fiction, Fantasy Fiction","Philomel Books,",c1988.
Digital,OverDrive,EBOOK,2016,6,1,Saints at the River: A Novel,,Ron Rash,"Fiction, Literature",Macmillan Publishers,2013
Physical,Horizon,BOOK,2016,6,1,Safer / Sean Doolittle.,,"Doolittle, Sean, 1971-","Married people Fiction, City and town life Iowa Fiction, Domestic fiction, Suspense fiction","Delacorte Press,",2009.
Digital,Freegal,SONG,2016,6,1,2-Sided,,Pan American,,,
Digital,OverDrive,EBOOK,2016,6,1,Super Trader: Make Consistent Profits in Good and Bad Markets,,Van Tharp,"Business, Nonfiction",McGraw-Hill Professional,2009
Physical,Horizon,BOOK,2016,6,3,"The little prince. [Book 12], The planet of Ludokaa / based on the animated series and an original story by Claelia Constantine ; story, Clotilde Bruneau ; art, Diane Fayolle ; coloring, Moonsun & Laetitia Meynier ; editing, Alcino Segusa ; translation, Anne and Owen Smith.",,"Bruneau, Clotilde","Princes Juvenile fiction, Interplanetary voyages Juvenile fiction, Friendship Juvenile fiction, Graphic novels France, Graphic novels","Graphic Universe,",2013.
Physical,Horizon,BOOK,2016,6,4,"Tricky journeys. #2, Tricky Rabbit tales / Chris Schweizer ; illustrated by Zack Giallongo.",,"Schweizer, Chris","Rabbits Comic books strips etc, Tricksters Comic books strips etc Juvenile literature, Animals Comic books strips etc, Cartoons and comics, Plot your own stories, Graphic novels","Graphic Universe,",c2011.
Physical,Horizon,BOOK,2016,6,6,The beautiful mystery [text (large print)] / Louise Penny.,,"Penny, Louise","Gamache Armand Fictitious character Fiction, Police Qu‚bec Province Fiction, Monasteries Fiction, Monks Fiction, Sacred vocal music Qu‚bec Province Fiction, Murder Investigation Fiction, Large type books, Mystery fiction","Thorndike Press,",2012.
Digital,Freegal,SONG,2016,6,1,Break You Off,,The Roots,,,
Digital,OverDrive,EBOOK,2016,6,3,Kristin Lavransdatter,,Sigrid Undset,"Classic Literature, Fiction, Literature","Penguin Group (USA), Inc.",2011
Digital,OverDrive,EBOOK,2016,6,1,Last Wolf Standing,,Rhyannon Byrd,"Fantasy, Fiction, Paranormal Romance, Romance","Harlequin Enterprises, Ltd.",2008
Physical,Horizon,BOOK,2016,6,1,The fence : a police cover-up along Boston's racial divide / Dick Lehr.,,"Lehr, Dick","Police misconduct Massachusetts Boston Case studies, Police brutality Massachusetts Boston Case studies, African Americans Crimes against Massachusetts Boston Case studies, African American police Massachusetts Boston, Boston Mass Race relations, Cox Michael Michael Anthony 1965, Conley Kenneth Michael 1968","Harper,",c2009.
Digital,OverDrive,EBOOK,2016,6,3,The Blue Bistro,,Elin Hilderbrand,"Fiction, Literature, Romance",Macmillan Publishers,2013
Physical,Horizon,BOOK,2016,6,2,The year's best science fiction : thirtieth annual collection / edited by Gardner Dozois.,,,"Science fiction American, Short stories","St. Martin's Griffin,",2013.
Digital,OverDrive,EBOOK,2016,6,4,Someone Like You,,Sarah Dessen,"Young Adult Fiction, Young Adult Literature","Penguin Group (USA), Inc.",2009
Physical,Horizon,BOOK,2016,6,1,The Japanese house reinvented / Philip Jodidio.,,"Jodidio, Philip","Architecture Domestic Japan History 21st century, Architecture Domestic Japan Pictorial works, Dwellings Japan Pictorial works","The Monacelli Press,",c2015.
Physical,Horizon,BOOK,2016,6,3,Our moon : new discoveries about Earth's closest companion / Elaine Scott.,,"Scott, Elaine, 1940-","Space flight to the moon Juvenile literature, Moon Juvenile literature, Moon Exploration Juvenile literature, Earth Planet Juvenile literature, Space flight to the moon, Moon, Moon Exploration, Earth Planet","Clarion Books, Houghton Mifflin Harcourt,",[2015]
